iShares ESG Optimized MSCI USA ETF
Fund Holdings as of,"Sep 16, 2026"
Inception Date,"Jan 24, 2005"
Shares Outstanding,"25,950,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"APH","AMPHENOL CORP CLASS A","Information Technology","Equity","8,782,916.80","0.22","8,782,916.80","113,680.00","77.26","United States","NYSE","USD","1.00","USD","-"
"WST","WEST PHARMACEUTICAL SERVICES","Health Care","Equity","8,768,244.21","0.22","8,768,244.21","24,221.00","362.01","United States","NYSE","USD","1.00","USD","-"
"TGT","TARGET CORP","Consumer Staples","Equity","8,666,565.72","0.22","8,666,565.72","56,029.00","154.68","United States","NYSE","USD","1.00","USD","-"
"BR","BROADRIDGE FINANCIAL SOLUTIONS INC","Industrials","Equity","8,649,915.12","0.22","8,649,915.12","51,768.00","167.09","United States","NYSE","USD","1.00","USD","-"
"ETN","EATON PLC","Industrials","Equity","8,579,352.60","0.22","8,579,352.60","21,567.00","397.80","United States","NYSE","USD","1.00","USD","-"
"TEL","TE CONNECTIVITY PLC","Information Technology","Equity","8,438,210.40","0.21","8,438,210.40","41,732.00","202.20","United States","NYSE","USD","1.00","USD","-"
"CHRW","CH ROBINSON WORLDWIDE","Industrials","Equity","8,350,302.70","0.21","8,350,302.70","54,410.00","153.47","United States","NASDAQ","USD","1.00","USD","-"
"DAL","DELTA AIR LINES","Industrials","Equity","8,319,007.84","0.21","8,319,007.84","106,832.00","77.87","United States","NYSE","USD","1.00","USD","-"
"LH","LABCORP HOLDINGS","Health Care","Equity","7,998,846.99","0.20","7,998,846.99","24,649.00","324.51","United States","NYSE","USD","1.00","USD","-"
"DELL","DELL TECHNOLOGIES INC CLASS C","Information Technology","Equity","7,886,060.00","0.20","7,886,060.00","14,000.00","563.29","United States","NYSE","USD","1.00","USD","-"
"IQV","IQVIA HOLDINGS","Health Care","Equity","7,869,974.32","0.20","7,869,974.32","29,276.00","268.82","United States","NYSE","USD","1.00","USD","-"
"SYY","SYSCO","Consumer Staples","Equity","7,839,122.45","0.20","7,839,122.45","99,595.00","78.71","United States","NYSE","USD","1.00","USD","-"
"MRSH","MARSH","Financials","Equity","7,586,539.20","0.19","7,586,539.20","42,920.00","176.76","United States","NYSE","USD","1.00","USD","-"
"GLW","CORNING","Information Technology","Equity","7,505,257.92","0.19","7,505,257.92","52,062.00","144.16","United States","NYSE","USD","1.00","USD","-"
"FTNT","FORTINET","Information Technology","Equity","7,474,056.24","0.19","7,474,056.24","43,512.00","171.77","United States","NASDAQ","USD","1.00","USD","-"
"ACGL","ARCH CAPITAL GROUP","Financials","Equity","7,473,671.84","0.19","7,473,671.84","77,072.00","96.97","United States","NASDAQ","USD","1.00","USD","-"
"KHC","KRAFT HEINZ","Consumer Staples","Equity","7,451,470.49","0.19","7,451,470.49","301,313.00","24.73","United States","NYSE","USD","1.00","USD","-"
"HUM","HUMANA","Health Care","Equity","7,339,688.16","0.18","7,339,688.16","19,078.00","384.72","United States","NYSE","USD","1.00","USD","-"
"WBD","WARNER BROS. DISCOVERY SERIES A","Communication","Equity","7,208,235.65","0.18","7,208,235.65","256,795.00","28.07","United States","NASDAQ","USD","1.00","USD","-"
"MDB","MONGODB CLASS A","Information Technology","Equity","7,181,319.88","0.18","7,181,319.88","19,082.00","376.34","United States","NASDAQ","USD","1.00","USD","-"
"NXPI","NXP SEMICONDUCTORS NV","Information Technology","Equity","7,055,754.58","0.18","7,055,754.58","32,221.00","218.98","United States","NASDAQ","USD","1.00","USD","-"
"DE","DEERE","Industrials","Equity","7,054,874.86","0.18","7,054,874.86","10,538.00","669.47","United States","NYSE","USD","1.00","USD","-"
"WDAY","WORKDAY CLASS A","Information Technology","Equity","7,014,338.08","0.18","7,014,338.08","37,358.00","187.76","United States","NASDAQ","USD","1.00","USD","-"
