iShares Core S&P 500 ETF
Fund Holdings as of,"Sep 16, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"1,082,250,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"LMT","LOCKHEED MARTIN CORP","Industrials","Equity","1,386,001,848.00","0.17","1,386,001,848.00","2,579,808.00","537.25","United States","NYSE","USD","1.00","USD","-"
"LOW","LOWES COMPANIES INC","Consumer Discretionary","Equity","1,382,152,908.90","0.17","1,382,152,908.90","7,120,829.00","194.10","United States","NYSE","USD","1.00","USD","-"
"FTNT","FORTINET","Information Technology","Equity","1,360,101,140.81","0.16","1,360,101,140.81","7,918,153.00","171.77","United States","NASDAQ","USD","1.00","USD","-"
"MCK","MCKESSON CORP","Health Care","Equity","1,356,149,119.93","0.16","1,356,149,119.93","1,528,417.00","887.29","United States","NYSE","USD","1.00","USD","-"
"PSX","PHILLIPS 66","Energy","Equity","1,349,027,373.81","0.16","1,349,027,373.81","5,097,787.00","264.63","United States","NYSE","USD","1.00","USD","-"
"BNY","BANK OF NEW YORK MELLON CORP","Financials","Equity","1,339,360,007.66","0.16","1,339,360,007.66","8,727,178.00","153.47","United States","NYSE","USD","1.00","USD","-"
"ADBE","ADOBE INC","Information Technology","Equity","1,287,404,419.50","0.16","1,287,404,419.50","5,139,339.00","250.50","United States","NASDAQ","USD","1.00","USD","-"
"EQIX","EQUINIX REIT","Real Estate","Equity","1,274,124,409.92","0.15","1,274,124,409.92","1,253,862.00","1,016.16","United States","NASDAQ","USD","1.00","USD","-"
"FCX","FREEPORT MCMORAN INC","Materials","Equity","1,265,568,650.76","0.15","1,265,568,650.76","18,277,999.00","69.24","United States","NYSE","USD","1.00","USD","-"
"CME","CME GROUP CLASS A","Financials","Equity","1,255,222,130.16","0.15","1,255,222,130.16","4,606,996.00","272.46","United States","NASDAQ","USD","1.00","USD","-"
"SYK","STRYKER","Health Care","Equity","1,249,145,871.12","0.15","1,249,145,871.12","4,386,662.00","284.76","United States","NYSE","USD","1.00","USD","-"
"SO","SOUTHERN","Utilities","Equity","1,235,960,545.23","0.15","1,235,960,545.23","14,333,301.00","86.23","United States","NYSE","USD","1.00","USD","-"
"TT","TRANE TECHNOLOGIES PLC","Industrials","Equity","1,185,125,314.80","0.14","1,185,125,314.80","2,810,485.00","421.68","United States","NYSE","USD","1.00","USD","-"
"PNC","PNC FINANCIAL SERVICES GROUP","Financials","Equity","1,181,909,233.40","0.14","1,181,909,233.40","5,105,660.00","231.49","United States","NYSE","USD","1.00","USD","-"
"PWR","QUANTA SERVICES INC","Industrials","Equity","1,181,523,073.44","0.14","1,181,523,073.44","1,907,898.00","619.28","United States","NYSE","USD","1.00","USD","-"
"USB","US BANCORP","Financials","Equity","1,178,869,208.55","0.14","1,178,869,208.55","19,736,635.00","59.73","United States","NYSE","USD","1.00","USD","-"
